GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
620L200US25133,25133,"Sixteenth Middlesex District (2010), Massachusetts",16066,399,937,248,898,224,816,200,631,220,557,158,691,209,612,195,722,223,698,209,1422,275,1950,347,2514,350,1515,274,702,179,1017,180,384,111
620L200US25134,25134,"Seventeenth Middlesex District (2010), Massachusetts",15822,478,1686,299,1067,229,695,207,949,230,555,170,557,164,729,172,850,227,575,165,1150,253,1780,259,2170,292,1281,233,840,187,661,150,277,91
620L200US25135,25135,"Eighteenth Middlesex District (2010), Massachusetts",13326,403,1241,180,1217,291,860,198,690,205,620,162,779,235,511,167,745,223,503,158,1208,265,1621,290,1566,298,782,222,405,104,350,129,228,98
620L200US25136,25136,"Nineteenth Middlesex District (2010), Massachusetts",13720,383,271,114,385,122,426,133,485,168,343,107,382,116,263,90,778,167,424,143,813,175,1222,202,2317,273,1868,271,1394,224,1692,185,657,163
620L200US25137,25137,"Twentieth Middlesex District (2010), Massachusetts",14792,369,264,108,322,132,332,133,379,101,404,128,313,122,326,109,379,131,305,110,895,188,1133,198,2389,326,1752,255,1575,252,1733,220,2291,222
620L200US25138,25138,"Twenty-First Middlesex District (2010), Massachusetts",15284,352,226,88,379,131,383,136,398,119,358,119,413,122,442,141,512,144,515,142,1160,224,1170,204,1957,272,2195,270,1521,226,1950,240,1705,268
620L200US25139,25139,"Twenty-Second Middlesex District (2010), Massachusetts",13567,322,246,93,254,112,331,132,246,105,299,121,395,131,342,138,540,150,472,111,834,179,1639,298,2615,302,2333,290,1288,199,1253,181,480,135
620L200US25140,25140,"Twenty-Third Middlesex District (2010), Massachusetts",17381,361,938,239,751,181,352,121,520,153,350,123,455,128,726,213,563,163,414,157,995,151,1587,220,2798,292,1879,295,1503,256,1842,265,1708,243
620L200US25141,25141,"Twenty-Fourth Middlesex District (2010), Massachusetts",17212,388,913,215,794,226,510,171,624,134,509,145,508,146,598,158,358,97,495,141,1037,222,1670,209,2212,272,1875,276,1400,199,1830,241,1879,224
620L200US25142,25142,"Twenty-Fifth Middlesex District (2010), Massachusetts",17841,550,1802,340,678,178,732,187,729,188,621,155,461,124,496,125,793,209,535,147,1289,270,1615,252,2155,262,1473,243,1016,208,1449,280,1997,265
